layer,sequences,time_us
model_core_stage_4,87,124710.109994434
model_core_stage_5,87,124710.109994434
model_core_stage_6,87,124710.109994434
model_core_stage_7,87,110251.709981724
model_core,88,955802.094087000
model_core_stage_0,88,109552.474995099
model_core_stage_1,88,109552.474995099
model_core_stage_2,88,125202.828565827
model_core_stage_3,88,125202.828565827
model_core_stage_4,88,125202.828565827
model_core_stage_5,88,125202.828565827
model_core_stage_6,88,125202.828565827
model_core_stage_7,88,110683.001267667
model_core,89,959481.841125609
model_core_stage_0,89,109974.722397040
model_core_stage_1,89,109974.722397040
model_core_stage_2,89,125685.397025189
model_core_stage_3,89,125685.397025189
model_core_stage_4,89,125685.397025189
model_core_stage_5,89,125685.397025189
