layer,sequences,time_us
model_core_stage_5,83,98141.742551654
model_core_stage_6,83,98141.742551654
model_core_stage_7,83,89244.710869037
model_core,84,768255.558025215
model_core_stage_0,84,88539.030277623
model_core_stage_1,84,98376.700308470
model_core_stage_2,84,98376.700308470
model_core_stage_3,84,98376.700308470
model_core_stage_4,84,98376.700308470
model_core_stage_5,84,98376.700308470
model_core_stage_6,84,98376.700308470
model_core_stage_7,84,89456.325896771
model_core,85,770032.103197569
model_core_stage_0,85,88743.998599826
model_core_stage_1,85,98604.442888695
model_core_stage_2,85,98604.442888695
model_core_stage_3,85,98604.442888695
model_core_stage_4,85,98604.442888695
model_core_stage_5,85,98604.442888695
model_core_stage_6,85,98604.442888695
model_core_stage_7,85,89661.447265572
model_core,86,771754.104834029
model_core_stage_0,86,88942.673437117
model_core_stage_1,86,98825.192707908
model_core_stage_2,86,98825.192707908
model_core_stage_3,86,98825.192707908
model_core_stage_4,86,98825.192707908
model_core_stage_5,86,98825.192707908
model_core_stage_6,86,98825.192707908
model_core_stage_7,86,89860.275149463
model_core,87,773423.244297749
model_core_stage_0,87,89135.248792939
model_core_stage_1,87,99039.165325488
model_core_stage_2,87,99039.165325488
model_core_stage_3,87,99039.165325488
model_core_stage_4,87,99039.165325488
model_core_stage_5,87,99039.165325488
model_core_stage_6,87,99039.165325488
model_core_stage_7,87,90053.003551884
model_core,88,775041.151122059
model_core_stage_0,88,89321.912690367
model_core_stage_1,88,99246.569655964
model_core_stage_2,88,99246.569655964
model_core_stage_3,88,99246.569655964
model_core_stage_4,88,99246.569655964
model_core_stage_5,88,99246.569655964
model_core_stage_6,88,99246.569655964
model_core_stage_7,88,90239.820495911
model_core,89,776609.404608171
model_core_stage_0,89,89502.847356465
model_core_stage_1,89,99447.608173850
model_core_stage_2,89,99447.608173850
model_core_stage_3,89,99447.608173850
model_core_stage_4,89,99447.608173850
model_core_stage_5,89,99447.608173850
